ResultTable(results=
                                       reconstructor            test_data                     measure_values                                                                                                                                                                                                                                                                                                                                           misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                                                                                                                                                                      
         12            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.03, ssim: 0.8523}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 13000}}
         13            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.07, ssim: 0.8536}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 14000}}
         14            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.09, ssim: 0.8545}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 15000}}
         15            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 23.92, ssim: 0.7041}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 1000}}
         16            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 25.46, ssim: 0.7915}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 2000}}
         17            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 25.83, ssim: 0.8138}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 3000}}
         18            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.14, ssim: 0.8291}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 4000}}
         19            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.04, ssim: 0.8502}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 5000}}
         20            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.14, ssim: 0.8543}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 6000}}
         21            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 27.15, ssim: 0.8556}   {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 7000}}
